"table_name","序号","字段名","类型","最大长度","可空","默认值","底层类型"
"knowledge_documents",1,"id","integer","","NO","nextval('knowledge_documents_id_seq'::regclass)","int4"
"knowledge_documents",2,"source_path","character varying","500","NO","","varchar"
"knowledge_documents",3,"file_name","character varying","300","NO","","varchar"
"knowledge_documents",4,"file_format","character varying","10","NO","","varchar"
"knowledge_documents",5,"file_size_bytes","bigint","","YES","","int8"
"knowledge_documents",6,"regulation_type","character varying","50","NO","","varchar"
"knowledge_documents",7,"regulation_number","character varying","100","YES","","varchar"
"knowledge_documents",8,"regulation_title","character varying","500","YES","","varchar"
"knowledge_documents",9,"priority","character varying","10","NO","'中'::character varying","varchar"
"knowledge_documents",10,"parent_category","character varying","200","YES","","varchar"
"knowledge_documents",11,"extraction_quality","character varying","20","YES","'good'::character varying","varchar"
"knowledge_documents",12,"page_count","integer","","YES","","int4"
"knowledge_documents",13,"is_full_text","boolean","","YES","true","bool"
"knowledge_documents",14,"total_chunks","integer","","YES","0","int4"
"knowledge_documents",15,"content_hash","character varying","64","YES","","varchar"
"knowledge_documents",16,"last_modified","timestamp with time zone","","YES","","timestamptz"
"knowledge_documents",17,"created_at","timestamp with time zone","","YES","now()","timestamptz"
"long_term_memories",1,"id","uuid","","NO","","uuid"
"long_term_memories",2,"user_id","character varying","100","NO","","varchar"
"long_term_memories",3,"memory_type","character varying","50","NO","","varchar"
"long_term_memories",4,"content","text","","NO","","text"
"long_term_memories",5,"embedding","USER-DEFINED","","YES","","vector"
"long_term_memories",6,"source_session_id","uuid","","YES","","uuid"
"long_term_memories",7,"source_turn_index","integer","","YES","0","int4"
"long_term_memories",8,"importance","double precision","","YES","0.5","float8"
"long_term_memories",9,"hit_count","integer","","YES","0","int4"
"long_term_memories",10,"last_hit_at","timestamp with time zone","","YES","","timestamptz"
"long_term_memories",11,"is_active","boolean","","YES","true","bool"
"long_term_memories",12,"created_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"long_term_memories",13,"updated_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"refresh_tokens",1,"token_hash","character varying","128","NO","","varchar"
"refresh_tokens",2,"username","character varying","100","NO","","varchar"
"refresh_tokens",3,"expires_at","timestamp with time zone","","NO","","timestamptz"
"refresh_tokens",4,"created_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"search_logs",1,"id","integer","","NO","nextval('search_logs_id_seq'::regclass)","int4"
"search_logs",2,"query","text","","NO","","text"
"search_logs",3,"results_count","integer","","YES","","int4"
"search_logs",4,"execution_time_ms","integer","","YES","","int4"
"search_logs",5,"source_priority","character varying","50","YES","","varchar"
"search_logs",6,"created_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"sessions",1,"id","uuid","","NO","","uuid"
"sessions",2,"user_id","character varying","100","NO","","varchar"
"sessions",3,"user_name","character varying","200","YES","","varchar"
"sessions",4,"session_data","text","","YES","","text"
"sessions",5,"created_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"sessions",6,"updated_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"sessions",7,"expires_at","timestamp with time zone","","YES","","timestamptz"
